이름,비고,저자,파일과 미디어,출판사,문해력 수준,분야,상태,시작,완료,연,월,읽은 기간,읽은 일수,평점,한 줄 평,회독수,읽은 사람,이번 년도에 읽을 책,등록여부,출판일
"다시, 밖으로",글 없는 그림책,엔히코 코제르 모레이라,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%83%E1%85%A1%E1%84%89%E1%85%B5_%E1%84%87%E1%85%A1%E1%86%A9%E1%84%8B%E1%85%B3%E1%84%85%E1%85%A9.jpg,풀빛,초2,그림책,읽기 전,,,,,,,,,,,No,No,
노란 나비,글 없는 그림책,올렉산드르 샤토킨,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%82%E1%85%A9%E1%84%85%E1%85%A1%E1%86%AB_%E1%84%82%E1%85%A1%E1%84%87%E1%85%B5.jpg,노란코끼리,초2,그림책,읽기 전,,,,,,,,,,,No,No,
나무집,글 없는 그림책,마리예 톨만,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%82%E1%85%A1%E1%84%86%E1%85%AE%E1%84%8C%E1%85%B5%E1%86%B8.jpg,여유당,초2,그림책,읽기 전,,,,,,,,,,,No,No,
구름 공장,글 없는 그림책,유지우,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%80%E1%85%AE%E1%84%85%E1%85%B3%E1%86%B7_%E1%84%80%E1%85%A9%E1%86%BC%E1%84%8C%E1%85%A1%E1%86%BC.jpg,책읽는곰,초2,그림책,읽기 전,,,,,,,,,,,No,No,
곰과 새,글 없는 그림책,김용대,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%80%E1%85%A9%E1%86%B7%E1%84%80%E1%85%AA_%E1%84%89%E1%85%A2.jpg,길벗어린이,초2,그림책,읽기 전,,,,,,,,,,,No,No,
있으려나 서점,2학년이 처음 읽기 좋은 책,요시타케 신스케,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%8B%E1%85%B5%E1%86%BB%E1%84%8B%E1%85%B3%E1%84%85%E1%85%A7%E1%84%82%E1%85%A1_%E1%84%89%E1%85%A5%E1%84%8C%E1%85%A5%E1%86%B7.jpg,온다,초2,그림책,읽기 전,,,,,,,,,,,No,No,
언제나 칭찬,2학년이 처음 읽기 좋은 책,류호선,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%8B%E1%85%A5%E1%86%AB%E1%84%8C%E1%85%A6%E1%84%82%E1%85%A1_%E1%84%8E%E1%85%B5%E1%86%BC%E1%84%8E%E1%85%A1%E1%86%AB.jpg,사계절,초2,그림책,읽기 전,,,,,,,,,,,No,No,
우당탕탕 야옹이와 바다 끝 괴물,2학년이 처음 읽기 좋은 책,구도 노리코,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%8B%E1%85%AE%E1%84%83%E1%85%A1%E1%86%BC%E1%84%90%E1%85%A1%E1%86%BC%E1%84%90%E1%85%A1%E1%86%BC_%E1%84%8B%E1%85%A3%E1%84%8B%E1%85%A9%E1%86%BC%E1%84%8B%E1%85%B5%E1%84%8B%E1%85%AA_%E1%84%87%E1%85%A1%E1%84%83%E1%85%A1_%E1%84%81%E1%85%B3%E1%87%80_%E1%84%80%E1%85%AC%E1%84%86%E1%85%AE%E1%86%AF.jpg,책읽는곰,초2,그림책,읽기 전,,,,,,,,,,,No,No,
새빨간 입술 젤리,2학년이 처음 읽기 좋은 책,이나영,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%89%E1%85%A2%E1%84%88%E1%85%A1%E1%86%AF%E1%84%80%E1%85%A1%E1%86%AB_%E1%84%8B%E1%85%B5%E1%86%B8%E1%84%89%E1%85%AE%E1%86%AF_%E1%84%8C%E1%85%A6%E1%86%AF%E1%84%85%E1%85%B5.jpg,뜨인돌어린이,초2,그림책,읽기 전,,,,,,,,,,,No,No,
멋진 여우 씨,2학년이 처음 읽기 좋은 책,로알드 달,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%86%E1%85%A5%E1%86%BA%E1%84%8C%E1%85%B5%E1%86%AB_%E1%84%8B%E1%85%A7%E1%84%8B%E1%85%AE_%E1%84%8A%E1%85%B5.jpg,논장,초2,그림책,읽기 전,,,,,,,,,,,No,No,
